Coverage	e=0.001	e=0.05	e=0.1	e=0.5
0.9	1 (0.13%)	4 (0.52%)	7 (0.91%)	18 (2.35%)
0.8	2 (0.26%)	17 (2.22%)	23 (3.00%)	70 (9.14%)
0.7	5 (0.65%)	29 (3.79%)	39 (5.09%)	117 (15.27%)
0.6	5 (0.65%)	34 (4.44%)	55 (7.18%)	163 (21.28%)
0.5	5 (0.65%)	41 (5.35%)	63 (8.22%)	188 (24.54%)
