Coverage	e=0.001	e=0.05	e=0.1	e=0.5
0.9	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.8	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.7	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.6	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.5	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.4	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.3	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.2	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
0.1	0 (0.00%)	0 (0.00%)	2 (0.01%)	15 (0.07%)
