# Statistics per L
L=26	N_self=42	N_similar=130	N_non=491789	KS(s,n)=0.269063	p(s,n)=3.555e-03	d(s,n)=0.755	KS(s,si)=0.270330	p(s,si)=1.514e-02	d(s,si)=0.753	KS(si,n)=0.165632	p(si,n)=1.384e-03	d(si,n)=0.039
L=27	N_self=103	N_similar=283	N_non=862486	KS(s,n)=0.215368	p(s,n)=1.131e-04	d(s,n)=0.477	KS(s,si)=0.154448	p(s,si)=4.766e-02	d(s,si)=0.476	KS(si,n)=0.179106	p(si,n)=2.053e-08	d(si,n)=0.009
L=28	N_self=67	N_similar=392	N_non=667376	KS(s,n)=0.230903	p(s,n)=1.268e-03	d(s,n)=0.659	KS(s,si)=0.238425	p(s,si)=2.378e-03	d(s,si)=0.660	KS(si,n)=0.124061	p(si,n)=1.022e-05	d(si,n)=0.005
L=30	N_self=64	N_similar=155	N_non=818089	KS(s,n)=0.251653	p(s,n)=4.653e-04	d(s,n)=0.747	KS(s,si)=0.250000	p(s,si)=5.464e-03	d(s,si)=0.704	KS(si,n)=0.117415	p(si,n)=2.557e-02	d(si,n)=0.191
L=31	N_self=63	N_similar=138	N_non=792818	KS(s,n)=0.221870	p(s,n)=3.324e-03	d(s,n)=0.723	KS(s,si)=0.222222	p(s,si)=2.297e-02	d(s,si)=0.709	KS(si,n)=0.131387	p(si,n)=1.545e-02	d(si,n)=0.085
L=32	N_self=50	N_similar=74	N_non=629290	KS(s,n)=0.196455	p(s,n)=3.634e-02	d(s,n)=0.636	KS(s,si)=0.200000	p(s,si)=1.551e-01	d(s,si)=0.573	KS(si,n)=0.225131	p(si,n)=8.902e-04	d(si,n)=0.218
L=33	N_self=43	N_similar=94	N_non=694894	KS(s,n)=0.253893	p(s,n)=6.249e-03	d(s,n)=0.771	KS(s,si)=0.255814	p(s,si)=3.336e-02	d(s,si)=0.742	KS(si,n)=0.177613	p(si,n)=4.585e-03	d(si,n)=0.158
L=35	N_self=54	N_similar=200	N_non=651287	KS(s,n)=0.192393	p(s,n)=3.172e-02	d(s,n)=0.639	KS(s,si)=0.185185	p(s,si)=9.344e-02	d(s,si)=0.603	KS(si,n)=0.096101	p(si,n)=4.648e-02	d(si,n)=0.152
L=38	N_self=67	N_similar=118	N_non=572763	KS(s,n)=0.197638	p(s,n)=9.070e-03	d(s,n)=0.492	KS(s,si)=0.188211	p(s,si)=8.264e-02	d(s,si)=0.460	KS(si,n)=0.104940	p(si,n)=1.384e-01	d(si,n)=0.122
L=40	N_self=58	N_similar=156	N_non=1058750	KS(s,n)=0.192157	p(s,n)=2.379e-02	d(s,n)=0.658	KS(s,si)=0.189655	p(s,si)=8.172e-02	d(s,si)=0.589	KS(si,n)=0.112685	p(si,n)=3.510e-02	d(si,n)=0.316
L=42	N_self=31	N_similar=96	N_non=550125	KS(s,n)=0.372785	p(s,n)=2.243e-04	d(s,n)=0.641	KS(s,si)=0.368952	p(s,si)=2.291e-03	d(s,si)=0.634	KS(si,n)=0.086726	p(si,n)=4.410e-01	d(si,n)=0.062
L=43	N_self=33	N_similar=89	N_non=499523	KS(s,n)=0.205268	p(s,n)=1.072e-01	d(s,n)=0.540	KS(s,si)=0.251958	p(s,si)=7.686e-02	d(s,si)=0.485	KS(si,n)=0.244987	p(si,n)=3.445e-05	d(si,n)=0.442
L=46	N_self=32	N_similar=98	N_non=434429	KS(s,n)=0.213834	p(s,n)=9.190e-02	d(s,n)=0.602	KS(s,si)=0.156250	p(s,si)=5.389e-01	d(s,si)=0.527	KS(si,n)=0.173333	p(si,n)=4.803e-03	d(si,n)=0.355
L=49	N_self=46	N_similar=112	N_non=662862	KS(s,n)=0.234291	p(s,n)=1.053e-02	d(s,n)=0.535	KS(s,si)=0.172748	p(s,si)=2.490e-01	d(s,si)=0.503	KS(si,n)=0.119177	p(si,n)=7.639e-02	d(si,n)=0.174
L=50	N_self=42	N_similar=69	N_non=294877	KS(s,n)=0.166922	p(s,n)=1.717e-01	d(s,n)=0.379	KS(s,si)=0.127329	p(s,si)=7.342e-01	d(s,si)=0.350	KS(si,n)=0.071780	p(si,n)=8.440e-01	d(si,n)=0.177
L=52	N_self=101	N_similar=305	N_non=1203539	KS(s,n)=0.254738	p(s,n)=2.891e-06	d(s,n)=0.496	KS(s,si)=0.129395	p(s,si)=1.422e-01	d(s,si)=0.477	KS(si,n)=0.144919	p(si,n)=4.709e-06	d(si,n)=0.141
L=53	N_self=53	N_similar=138	N_non=925255	KS(s,n)=0.197229	p(s,n)=2.783e-02	d(s,n)=0.576	KS(s,si)=0.182116	p(s,si)=1.360e-01	d(s,si)=0.543	KS(si,n)=0.118493	p(si,n)=3.811e-02	d(si,n)=0.338
L=54	N_self=80	N_similar=242	N_non=909375	KS(s,n)=0.150818	p(s,n)=4.709e-02	d(s,n)=0.455	KS(s,si)=0.100000	p(s,si)=5.446e-01	d(s,si)=0.418	KS(si,n)=0.133901	p(si,n)=3.031e-04	d(si,n)=0.386
L=59	N_self=47	N_similar=118	N_non=781474	KS(s,n)=0.286703	p(s,n)=6.500e-04	d(s,n)=0.526	KS(s,si)=0.224125	p(s,si)=5.498e-02	d(s,si)=0.491	KS(si,n)=0.131564	p(si,n)=3.056e-02	d(si,n)=0.366
L=60	N_self=80	N_similar=223	N_non=899519	KS(s,n)=0.214104	p(s,n)=1.068e-03	d(s,n)=0.431	KS(s,si)=0.177691	p(s,si)=4.174e-02	d(s,si)=0.386	KS(si,n)=0.287422	p(si,n)=8.384e-17	d(si,n)=0.266
L=61	N_self=149	N_similar=422	N_non=1219126	KS(s,n)=0.299630	p(s,n)=2.330e-12	d(s,n)=0.373	KS(s,si)=0.099637	p(s,si)=2.075e-01	d(s,si)=0.325	KS(si,n)=0.294021	p(si,n)=8.041e-33	d(si,n)=0.269
L=64	N_self=42	N_similar=141	N_non=630284	KS(s,n)=0.161993	p(s,n)=1.975e-01	d(s,n)=0.501	KS(s,si)=0.119048	p(s,si)=6.973e-01	d(s,si)=0.480	KS(si,n)=0.092125	p(si,n)=1.715e-01	d(si,n)=0.289
L=65	N_self=78	N_similar=309	N_non=345289	KS(s,n)=0.134672	p(s,n)=1.075e-01	d(s,n)=0.291	KS(s,si)=0.072442	p(s,si)=8.712e-01	d(s,si)=0.232	KS(si,n)=0.118791	p(si,n)=2.950e-04	d(si,n)=0.231
L=70	N_self=41	N_similar=100	N_non=454345	KS(s,n)=0.160649	p(s,n)=2.160e-01	d(s,n)=0.392	KS(s,si)=0.093902	p(s,si)=9.322e-01	d(s,si)=0.368	KS(si,n)=0.071907	p(si,n)=6.525e-01	d(si,n)=0.322
L=71	N_self=38	N_similar=111	N_non=390557	KS(s,n)=0.118498	p(s,n)=6.177e-01	d(s,n)=0.375	KS(s,si)=0.092935	p(s,si)=9.430e-01	d(s,si)=0.348	KS(si,n)=0.088389	p(si,n)=3.315e-01	d(si,n)=0.171
L=72	N_self=35	N_similar=67	N_non=230513	KS(s,n)=0.104029	p(s,n)=8.059e-01	d(s,n)=0.315	KS(s,si)=0.112154	p(s,si)=8.912e-01	d(s,si)=0.253	KS(si,n)=0.146193	p(si,n)=1.030e-01	d(si,n)=0.288
L=77	N_self=30	N_similar=65	N_non=313620	KS(s,n)=0.129073	p(s,n)=6.526e-01	d(s,n)=0.375	KS(s,si)=0.400000	p(s,si)=1.848e-03	d(s,si)=0.346	KS(si,n)=0.272559	p(si,n)=9.312e-05	d(si,n)=0.289
L=81	N_self=108	N_similar=601	N_non=595948	KS(s,n)=0.058924	p(s,n)=8.259e-01	d(s,n)=0.272	KS(s,si)=0.037037	p(s,si)=9.991e-01	d(s,si)=0.244	KS(si,n)=0.049871	p(si,n)=9.775e-02	d(si,n)=0.238
L=82	N_self=53	N_similar=347	N_non=307577	KS(s,n)=0.092576	p(s,n)=7.191e-01	d(s,n)=0.274	KS(s,si)=0.080855	p(s,si)=8.973e-01	d(s,si)=0.252	KS(si,n)=0.025829	p(si,n)=9.701e-01	d(si,n)=0.204
L=102	N_self=45	N_similar=69	N_non=319412	KS(s,n)=0.136345	p(s,n)=3.415e-01	d(s,n)=0.303	KS(s,si)=0.109179	p(s,si)=8.557e-01	d(s,si)=0.248	KS(si,n)=0.056352	p(si,n)=9.721e-01	d(si,n)=0.296
L=105	N_self=34	N_similar=117	N_non=349222	KS(s,n)=0.249033	p(s,n)=2.413e-02	d(s,n)=0.347	KS(s,si)=0.364002	p(s,si)=1.250e-03	d(s,si)=0.313	KS(si,n)=0.115196	p(si,n)=8.271e-02	d(si,n)=0.221
L=142	N_self=42	N_similar=138	N_non=312841	KS(s,n)=0.050226	p(s,n)=9.997e-01	d(s,n)=0.315	KS(s,si)=0.066253	p(s,si)=9.967e-01	d(s,si)=0.303	KS(si,n)=0.021698	p(si,n)=1.000e+00	d(si,n)=0.174
