# Statistics per L
L=26	N_self=42	N_similar=130	N_non=491789	KS(s,n)=0.327268	p(s,n)=1.657e-04	d(s,n)=0.427	KS(s,si)=0.246154	p(s,si)=3.453e-02	d(s,si)=0.411	KS(si,n)=0.198459	p(si,n)=5.802e-05	d(si,n)=0.035
L=27	N_self=103	N_similar=283	N_non=862486	KS(s,n)=0.263955	p(s,n)=8.008e-07	d(s,n)=0.214	KS(s,si)=0.143504	p(s,si)=7.915e-02	d(s,si)=0.206	KS(si,n)=0.207368	p(si,n)=3.759e-11	d(si,n)=0.010
L=28	N_self=67	N_similar=392	N_non=667376	KS(s,n)=0.199606	p(s,n)=8.144e-03	d(s,n)=0.498	KS(s,si)=0.258719	p(s,si)=7.205e-04	d(s,si)=0.560	KS(si,n)=0.187001	p(si,n)=1.788e-12	d(si,n)=-0.084
L=30	N_self=64	N_similar=155	N_non=818089	KS(s,n)=0.282428	p(s,n)=5.214e-05	d(s,n)=0.458	KS(s,si)=0.244758	p(s,si)=6.967e-03	d(s,si)=0.364	KS(si,n)=0.093720	p(si,n)=1.232e-01	d(si,n)=0.098
L=31	N_self=63	N_similar=138	N_non=792818	KS(s,n)=0.310132	p(s,n)=7.022e-06	d(s,n)=0.545	KS(s,si)=0.209110	p(s,si)=3.807e-02	d(s,si)=0.627	KS(si,n)=0.117241	p(si,n)=4.140e-02	d(si,n)=-0.112
L=32	N_self=50	N_similar=74	N_non=629290	KS(s,n)=0.224672	p(s,n)=1.066e-02	d(s,n)=0.450	KS(s,si)=0.152432	p(s,si)=4.352e-01	d(s,si)=0.427	KS(si,n)=0.247915	p(si,n)=1.714e-04	d(si,n)=0.039
L=33	N_self=43	N_similar=94	N_non=694894	KS(s,n)=0.183122	p(s,n)=9.822e-02	d(s,n)=0.484	KS(s,si)=0.211282	p(s,si)=1.200e-01	d(s,si)=0.542	KS(si,n)=0.169806	p(si,n)=7.719e-03	d(si,n)=-0.083
L=35	N_self=54	N_similar=200	N_non=651287	KS(s,n)=0.166058	p(s,n)=9.049e-02	d(s,n)=0.449	KS(s,si)=0.194259	p(s,si)=6.904e-02	d(s,si)=0.539	KS(si,n)=0.173529	p(si,n)=9.764e-06	d(si,n)=-0.146
L=38	N_self=67	N_similar=118	N_non=572763	KS(s,n)=0.135837	p(s,n)=1.537e-01	d(s,n)=0.255	KS(s,si)=0.108399	p(s,si)=6.458e-01	d(s,si)=0.283	KS(si,n)=0.137224	p(si,n)=2.121e-02	d(si,n)=-0.018
L=40	N_self=58	N_similar=156	N_non=1058750	KS(s,n)=0.353201	p(s,n)=5.613e-07	d(s,n)=0.578	KS(s,si)=0.312113	p(s,si)=3.700e-04	d(s,si)=0.591	KS(si,n)=0.104862	p(si,n)=6.013e-02	d(si,n)=-0.038
L=42	N_self=31	N_similar=96	N_non=550125	KS(s,n)=0.466925	p(s,n)=1.026e-06	d(s,n)=0.477	KS(s,si)=0.446237	p(s,si)=9.392e-05	d(s,si)=0.453	KS(si,n)=0.155928	p(si,n)=1.667e-02	d(si,n)=0.053
L=43	N_self=33	N_similar=89	N_non=499523	KS(s,n)=0.148239	p(s,n)=4.221e-01	d(s,n)=0.439	KS(s,si)=0.151175	p(s,si)=5.777e-01	d(s,si)=0.415	KS(si,n)=0.043064	p(si,n)=9.941e-01	d(si,n)=0.034
L=46	N_self=32	N_similar=98	N_non=434429	KS(s,n)=0.137082	p(s,n)=5.393e-01	d(s,n)=0.417	KS(s,si)=0.186224	p(s,si)=3.241e-01	d(s,si)=0.467	KS(si,n)=0.119723	p(si,n)=1.109e-01	d(si,n)=-0.106
L=49	N_self=46	N_similar=112	N_non=662862	KS(s,n)=0.355043	p(s,n)=1.078e-05	d(s,n)=0.490	KS(s,si)=0.223602	p(s,si)=6.371e-02	d(s,si)=0.492	KS(si,n)=0.193820	p(si,n)=3.682e-04	d(si,n)=0.006
L=50	N_self=42	N_similar=69	N_non=294877	KS(s,n)=0.146146	p(s,n)=3.009e-01	d(s,n)=0.321	KS(s,si)=0.119048	p(s,si)=8.001e-01	d(s,si)=0.387	KS(si,n)=0.048459	p(si,n)=9.945e-01	d(si,n)=-0.135
L=52	N_self=101	N_similar=305	N_non=1203539	KS(s,n)=0.393716	p(s,n)=1.269e-14	d(s,n)=0.464	KS(s,si)=0.292225	p(s,si)=3.296e-06	d(s,si)=0.407	KS(si,n)=0.130955	p(si,n)=5.077e-05	d(si,n)=0.071
L=53	N_self=53	N_similar=138	N_non=925255	KS(s,n)=0.240199	p(s,n)=3.554e-03	d(s,n)=0.529	KS(s,si)=0.232568	p(s,si)=2.618e-02	d(s,si)=0.511	KS(si,n)=0.055475	p(si,n)=7.681e-01	d(si,n)=0.046
L=54	N_self=80	N_similar=242	N_non=909375	KS(s,n)=0.211407	p(s,n)=1.290e-03	d(s,n)=0.424	KS(s,si)=0.222624	p(s,si)=4.211e-03	d(s,si)=0.450	KS(si,n)=0.093358	p(si,n)=2.754e-02	d(si,n)=-0.103
L=59	N_self=47	N_similar=118	N_non=781474	KS(s,n)=0.352406	p(s,n)=1.002e-05	d(s,n)=0.518	KS(s,si)=0.406058	p(s,si)=1.592e-05	d(s,si)=0.524	KS(si,n)=0.070450	p(si,n)=5.769e-01	d(si,n)=-0.017
L=60	N_self=80	N_similar=223	N_non=899519	KS(s,n)=0.236697	p(s,n)=1.993e-04	d(s,n)=0.374	KS(s,si)=0.177130	p(s,si)=4.283e-02	d(s,si)=0.422	KS(si,n)=0.277785	p(si,n)=1.048e-15	d(si,n)=-0.088
L=61	N_self=149	N_similar=422	N_non=1219126	KS(s,n)=0.275679	p(s,n)=1.681e-10	d(s,n)=0.301	KS(s,si)=0.094214	p(s,si)=2.617e-01	d(s,si)=0.267	KS(si,n)=0.306062	p(si,n)=1.382e-35	d(si,n)=0.059
L=64	N_self=42	N_similar=141	N_non=630284	KS(s,n)=0.210900	p(s,n)=4.065e-02	d(s,n)=0.439	KS(s,si)=0.200608	p(s,si)=1.264e-01	d(s,si)=0.445	KS(si,n)=0.042967	p(si,n)=9.470e-01	d(si,n)=-0.013
L=65	N_self=78	N_similar=309	N_non=345289	KS(s,n)=0.165721	p(s,n)=2.432e-02	d(s,n)=0.225	KS(s,si)=0.218820	p(s,si)=4.194e-03	d(s,si)=0.333	KS(si,n)=0.053099	p(si,n)=3.364e-01	d(si,n)=-0.122
L=70	N_self=41	N_similar=100	N_non=454345	KS(s,n)=0.072860	p(s,n)=9.703e-01	d(s,n)=0.389	KS(s,si)=0.073171	p(s,si)=9.929e-01	d(s,si)=0.394	KS(si,n)=0.024395	p(si,n)=1.000e+00	d(si,n)=-0.041
L=71	N_self=38	N_similar=111	N_non=390557	KS(s,n)=0.218386	p(s,n)=4.521e-02	d(s,n)=0.214	KS(s,si)=0.150782	p(s,si)=4.838e-01	d(s,si)=0.330	KS(si,n)=0.067603	p(si,n)=6.653e-01	d(si,n)=-0.092
L=72	N_self=35	N_similar=67	N_non=230513	KS(s,n)=0.038541	p(s,n)=1.000e+00	d(s,n)=0.116	KS(s,si)=0.061407	p(s,si)=9.999e-01	d(s,si)=0.255	KS(si,n)=0.077958	p(si,n)=7.809e-01	d(si,n)=-0.165
L=77	N_self=30	N_similar=65	N_non=313620	KS(s,n)=0.195016	p(s,n)=1.786e-01	d(s,n)=0.362	KS(s,si)=0.423077	p(s,si)=7.978e-04	d(s,si)=0.373	KS(si,n)=0.228061	p(si,n)=1.875e-03	d(si,n)=-0.054
L=81	N_self=108	N_similar=601	N_non=595948	KS(s,n)=0.056957	p(s,n)=8.549e-01	d(s,n)=0.261	KS(s,si)=0.059161	p(s,si)=8.838e-01	d(s,si)=0.257	KS(si,n)=0.066694	p(si,n)=9.165e-03	d(si,n)=0.007
L=82	N_self=53	N_similar=347	N_non=307577	KS(s,n)=0.089419	p(s,n)=7.568e-01	d(s,n)=0.274	KS(s,si)=0.060682	p(s,si)=9.913e-01	d(s,si)=0.280	KS(si,n)=0.028737	p(si,n)=9.288e-01	d(si,n)=-0.038
L=102	N_self=45	N_similar=69	N_non=319412	KS(s,n)=0.129774	p(s,n)=4.004e-01	d(s,n)=0.285	KS(s,si)=0.080193	p(s,si)=9.860e-01	d(s,si)=0.178	KS(si,n)=0.049581	p(si,n)=9.927e-01	d(si,n)=0.140
L=105	N_self=34	N_similar=117	N_non=349222	KS(s,n)=0.248978	p(s,n)=2.418e-02	d(s,n)=0.349	KS(s,si)=0.381096	p(s,si)=6.113e-04	d(s,si)=0.298	KS(si,n)=0.132118	p(si,n)=3.056e-02	d(si,n)=0.116
L=142	N_self=42	N_similar=138	N_non=312841	KS(s,n)=0.051256	p(s,n)=9.996e-01	d(s,n)=0.305	KS(s,si)=0.059006	p(s,si)=9.994e-01	d(s,si)=0.316	KS(si,n)=0.007751	p(si,n)=1.000e+00	d(si,n)=-0.055
