# CDF distribution statistics per L
L=53	N_self=53	N_sim=138	N_non=925255	KS(self,non)=0.241190	p=3.37e-03	WD=27.6365	KS(sim,non)=0.056813	p=7.43e-01	WD=1.4403
L=54	N_self=80	N_sim=242	N_non=909375	KS(self,non)=0.212445	p=1.20e-03	WD=19.8529	KS(sim,non)=0.094276	p=2.53e-02	WD=0.7258
L=59	N_self=47	N_sim=118	N_non=781474	KS(self,non)=0.352817	p=9.74e-06	WD=34.9127	KS(sim,non)=0.070185	p=5.82e-01	WD=0.6862
L=60	N_self=80	N_sim=223	N_non=899519	KS(self,non)=0.238458	p=1.74e-04	WD=11.9674	KS(sim,non)=0.279546	p=6.65e-16	WD=0.9938
L=61	N_self=149	N_sim=422	N_non=1219126	KS(self,non)=0.276349	p=1.50e-10	WD=9.6132	KS(sim,non)=0.304826	p=2.69e-35	WD=1.1850
L=64	N_self=42	N_sim=141	N_non=630284	KS(self,non)=0.209661	p=4.25e-02	WD=19.1288	KS(sim,non)=0.042139	p=9.55e-01	WD=0.5861
L=65	N_self=78	N_sim=309	N_non=345289	KS(self,non)=0.154308	p=4.35e-02	WD=3.7936	KS(sim,non)=0.051692	p=3.68e-01	WD=1.2432
L=70	N_self=41	N_sim=100	N_non=454345	KS(self,non)=0.072878	p=9.70e-01	WD=21.2191	KS(sim,non)=0.024222	p=1.00e+00	WD=0.1656
L=71	N_self=38	N_sim=111	N_non=390557	KS(self,non)=0.193071	p=1.03e-01	WD=1.4298	KS(sim,non)=0.068604	p=6.47e-01	WD=0.6650
L=72	N_self=35	N_sim=67	N_non=230513	KS(self,non)=0.023517	p=1.00e+00	WD=2.8254	KS(sim,non)=0.065258	p=9.20e-01	WD=1.8587
L=77	N_self=30	N_sim=65	N_non=313620	KS(self,non)=0.194694	p=1.80e-01	WD=15.0832	KS(sim,non)=0.228383	p=1.84e-03	WD=0.2544
L=81	N_self=108	N_sim=601	N_non=595948	KS(self,non)=0.056813	p=8.57e-01	WD=9.6951	KS(sim,non)=0.066549	p=9.38e-03	WD=0.1627
L=82	N_self=53	N_sim=347	N_non=307577	KS(self,non)=0.089295	p=7.58e-01	WD=11.2013	KS(sim,non)=0.028614	p=9.31e-01	WD=0.1253
L=102	N_self=45	N_sim=69	N_non=319412	KS(self,non)=0.129549	p=4.03e-01	WD=12.9633	KS(sim,non)=0.049355	p=9.93e-01	WD=3.7106
L=105	N_self=34	N_sim=117	N_non=349222	KS(self,non)=0.249055	p=2.41e-02	WD=14.0906	KS(sim,non)=0.132041	p=3.07e-02	WD=0.4536
L=142	N_self=42	N_sim=138	N_non=312841	KS(self,non)=0.050287	p=1.00e+00	WD=14.2076	KS(sim,non)=0.008719	p=1.00e+00	WD=0.0808
