Coverage	e=0.001	e=0.05	e=0.1	e=0.5
0.4	7 (0.91%)	47 (6.14%)	75 (9.79%)	218 (28.46%)
0.3	7 (0.91%)	49 (6.40%)	76 (9.92%)	239 (31.20%)
0.2	7 (0.91%)	52 (6.79%)	78 (10.18%)	253 (33.03%)
0.1	8 (1.04%)	54 (7.05%)	80 (10.44%)	259 (33.81%)
