Coverage	e=0.001	e=0.05	e=0.1	e=0.5
0.9	1 (0.13%)	4 (0.52%)	7 (0.91%)	18 (2.35%)
0.8	2 (0.26%)	17 (2.22%)	23 (3.00%)	70 (9.14%)
0.7	5 (0.65%)	29 (3.79%)	39 (5.09%)	117 (15.27%)
0.6	5 (0.65%)	34 (4.44%)	55 (7.18%)	163 (21.28%)
0.5	5 (0.65%)	41 (5.35%)	63 (8.22%)	188 (24.54%)
0.4	7 (0.91%)	47 (6.14%)	75 (9.79%)	218 (28.46%)
0.3	7 (0.91%)	49 (6.40%)	76 (9.92%)	239 (31.20%)
0.2	7 (0.91%)	52 (6.79%)	78 (10.18%)	253 (33.03%)
0.1	8 (1.04%)	54 (7.05%)	80 (10.44%)	259 (33.81%)
